file,chapter,title,words,hrefs,images,figures,code_blocks,callout_count,flags,changes
part-1-foundations-of-embodied-ai/module-03-embodied-system-architectures/section-3.2.html,Chapter 3: Embodied System Architectures,Section 3.2: Classical modular robotics pipeline,1973,16,1,2,8,13,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-03-embodied-system-architectures/section-3.3.html,Chapter 3: Embodied System Architectures,Section 3.3: End-to-end learned policy pipeline,1543,16,1,2,2,13,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-03-embodied-system-architectures/section-3.4.html,Chapter 3: Embodied System Architectures,Section 3.4: Hybrid and hierarchical architectures,1499,16,1,2,2,13,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-03-embodied-system-architectures/section-3.5.html,Chapter 3: Embodied System Architectures,Section 3.5: Reactive vs. deliberative agents,1491,16,1,2,2,13,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-03-embodied-system-architectures/section-3.6.html,Chapter 3: Embodied System Architectures,Section 3.6: Dual-system (System 1 / System 2) designs and where they come from,1576,16,0,1,2,13,missing-raster-illustration,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-03-embodied-system-architectures/section-3.7.html,Chapter 3: Embodied System Architectures,"Section 3.7: Where LLMs, VLMs, and VLAs sit in the stack",1569,16,0,1,2,13,missing-raster-illustration,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-03-embodied-system-architectures/section-3.8.html,Chapter 3: Embodied System Architectures,Section 3.8: Failure modes of each architecture,1963,16,0,1,8,13,missing-raster-illustration,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-49-multi-agent-embodied-ai/section-49.1.html,Chapter 49: Multi-Agent Embodied AI,Section 49.1: One agent vs. many,1966,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-49-multi-agent-embodied-ai/section-49.2.html,Chapter 49: Multi-Agent Embodied AI,"Section 49.2: Cooperation, competition, communication",1874,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-49-multi-agent-embodied-ai/section-49.3.html,Chapter 49: Multi-Agent Embodied AI,Section 49.3: Shared perception and task allocation,1937,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-49-multi-agent-embodied-ai/section-49.4.html,Chapter 49: Multi-Agent Embodied AI,Section 49.4: Multi-agent RL (with PettingZoo),1945,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-49-multi-agent-embodied-ai/section-49.5.html,Chapter 49: Multi-Agent Embodied AI,Section 49.5: Swarms and emergent behavior; evaluating teams,1952,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-50-human-robot-interaction/section-50.1.html,Chapter 50: Human-Robot Interaction,Section 50.1: Robots among humans,1855,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-50-human-robot-interaction/section-50.2.html,Chapter 50: Human-Robot Interaction,Section 50.2: Natural-language interaction and social navigation,1948,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-50-human-robot-interaction/section-50.3.html,Chapter 50: Human-Robot Interaction,Section 50.3: Intent recognition and trust calibration,1929,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-50-human-robot-interaction/section-50.4.html,Chapter 50: Human-Robot Interaction,Section 50.4: Explainable robot behavior,1872,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-50-human-robot-interaction/section-50.5.html,Chapter 50: Human-Robot Interaction,Section 50.5: Human feedback and shared autonomy,1923,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-50-human-robot-interaction/section-50.6.html,Chapter 50: Human-Robot Interaction,Section 50.6: Ethical concerns,1807,18,0,1,3,19,missing-raster-illustration,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-51-open-world-and-lifelong-embodiment/section-51.1.html,Chapter 51: Open-World and Lifelong Embodiment,Section 51.1: Closed- vs. open-world tasks,1955,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-51-open-world-and-lifelong-embodiment/section-51.2.html,Chapter 51: Open-World and Lifelong Embodiment,Section 51.2: Novel objects and instructions; changing environments,1961,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-51-open-world-and-lifelong-embodiment/section-51.3.html,Chapter 51: Open-World and Lifelong Embodiment,Section 51.3: Long-horizon tasks,1875,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-51-open-world-and-lifelong-embodiment/section-51.4.html,Chapter 51: Open-World and Lifelong Embodiment,Section 51.4: Continual learning and catastrophic forgetting,1939,18,1,2,3,19,,added reader-pathway callout
part-10-multi-agent-and-human-centered-embodiment/module-51-open-world-and-lifelong-embodiment/section-51.5.html,Chapter 51: Open-World and Lifelong Embodiment,Section 51.5: Memory and experience replay; open-world evaluation,1985,18,1,2,3,19,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-52-evaluating-embodied-systems/section-52.1.html,Chapter 52: Evaluating Embodied Systems,Section 52.1: Why accuracy is not enough,1368,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-52-evaluating-embodied-systems/section-52.2.html,Chapter 52: Evaluating Embodied Systems,"Section 52.2: Success rate, path efficiency, time and energy cost",1396,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-52-evaluating-embodied-systems/section-52.3.html,Chapter 52: Evaluating Embodied Systems,Section 52.3: Safety violations and constraint satisfaction,1326,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-52-evaluating-embodied-systems/section-52.4.html,Chapter 52: Evaluating Embodied Systems,Section 52.4: Robustness and generalization metrics,1308,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-52-evaluating-embodied-systems/section-52.5.html,Chapter 52: Evaluating Embodied Systems,Section 52.5: Reproducible evaluation: SIMPLER and sim-as-proxy,1357,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-52-evaluating-embodied-systems/section-52.6.html,Chapter 52: Evaluating Embodied Systems,Section 52.6: Real-world evaluation hygiene; benchmark design,1314,17,0,1,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-53-robustness-and-uncertainty/section-53.1.html,Chapter 53: Robustness and Uncertainty,"Section 53.1: What goes wrong: sensor noise, distribution shift",1328,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-53-robustness-and-uncertainty/section-53.2.html,Chapter 53: Robustness and Uncertainty,Section 53.2: Model uncertainty and calibration,1298,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-53-robustness-and-uncertainty/section-53.3.html,Chapter 53: Robustness and Uncertainty,Section 53.3: Out-of-distribution detection,1308,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-53-robustness-and-uncertainty/section-53.4.html,Chapter 53: Robustness and Uncertainty,Section 53.4: Runtime monitoring and fail-safe behavior,1325,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-54-safety-in-embodied-ai/section-54.1.html,Chapter 54: Safety in Embodied AI,Section 54.1: Why embodied safety is different (physical harm),1356,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-54-safety-in-embodied-ai/section-54.2.html,Chapter 54: Safety in Embodied AI,Section 54.2: Constraint violations and safe exploration,1301,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-54-safety-in-embodied-ai/section-54.3.html,Chapter 54: Safety in Embodied AI,Section 54.3: Control barrier functions and Hamilton-Jacobi reachability,1368,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-54-safety-in-embodied-ai/section-54.4.html,Chapter 54: Safety in Embodied AI,Section 54.4: Shielded policies and safety filters,1307,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-54-safety-in-embodied-ai/section-54.5.html,Chapter 54: Safety in Embodied AI,Section 54.5: Human override and safety testing,1320,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-54-safety-in-embodied-ai/section-54.6.html,Chapter 54: Safety in Embodied AI,Section 54.6: Deployment approval and safety cases,1287,17,0,1,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-54-safety-in-embodied-ai/section-54.7.html,Chapter 54: Safety in Embodied AI,Section 54.7: Safety Cases And Assurance Arguments For Embodied AI,1312,18,1,2,1,12,,added reader-pathway callout; added memory-hook fun-note callout
part-11-evaluation-safety-robustness-and-deployment/module-55-deployment-architecture/section-55.1.html,Chapter 55: Deployment Architecture,Section 55.1: From notebook to robot,1283,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-55-deployment-architecture/section-55.2.html,Chapter 55: Deployment Architecture,Section 55.2: Real-time inference and control rates,1317,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-55-deployment-architecture/section-55.3.html,Chapter 55: Deployment Architecture,Section 55.3: Edge vs. cloud-robot computation; asynchronous inference,1338,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-55-deployment-architecture/section-55.4.html,Chapter 55: Deployment Architecture,"Section 55.4: Logging, monitoring, model updates",1285,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-55-deployment-architecture/section-55.5.html,Chapter 55: Deployment Architecture,"Section 55.5: Failure recovery, security, maintenance",1288,17,1,2,1,14,,added reader-pathway callout
part-11-evaluation-safety-robustness-and-deployment/module-55-deployment-architecture/section-55.6.html,Chapter 55: Deployment Architecture,"Section 55.6: Industrial Fleets, Open-RMF, AMR Interoperability, And Operations",1326,19,1,2,1,12,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-56-embodied-agents-with-memory/section-56.1.html,Chapter 56: Embodied Agents with Memory,Section 56.1: Why memory matters; short- vs. long-term,2034,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-56-embodied-agents-with-memory/section-56.2.html,Chapter 56: Embodied Agents with Memory,"Section 56.2: Spatial, episodic, and semantic memory",1990,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-56-embodied-agents-with-memory/section-56.3.html,Chapter 56: Embodied Agents with Memory,Section 56.3: Memory retrieval for planning,1955,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-56-embodied-agents-with-memory/section-56.4.html,Chapter 56: Embodied Agents with Memory,Section 56.4: Memory errors,1878,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-57-continual-and-lifelong-learning/section-57.1.html,Chapter 57: Continual and Lifelong Learning,Section 57.1: Learning after deployment,1903,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-57-continual-and-lifelong-learning/section-57.2.html,Chapter 57: Continual and Lifelong Learning,Section 57.2: Catastrophic forgetting and mitigation,1956,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-57-continual-and-lifelong-learning/section-57.3.html,Chapter 57: Continual and Lifelong Learning,Section 57.3: Online adaptation; human correction as data,1991,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-57-continual-and-lifelong-learning/section-57.4.html,Chapter 57: Continual and Lifelong Learning,Section 57.4: Safe continual learning; evaluation over time,1968,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-58-frontier-and-open-problems/section-58.1.html,Chapter 58: Frontier and Open Problems,Section 58.1: Scaling laws and data engines for robots,2011,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-58-frontier-and-open-problems/section-58.2.html,Chapter 58: Frontier and Open Problems,Section 58.2: Generalist vs. specialist policies,1943,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-58-frontier-and-open-problems/section-58.3.html,Chapter 58: Frontier and Open Problems,Section 58.3: World models in the robot loop,2002,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-58-frontier-and-open-problems/section-58.4.html,Chapter 58: Frontier and Open Problems,Section 58.4: The open-vs-closed model divide,1984,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-58-frontier-and-open-problems/section-58.5.html,Chapter 58: Frontier and Open Problems,"Section 58.5: What is still unsolved (long-horizon reasoning, reliability, real-world RL)",2111,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-58-frontier-and-open-problems/section-58.99.html,Chapter 58: Frontier and Open Problems,Section 58.99: Frontier Watch,1856,18,0,1,2,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.1.html,Chapter 59: Capstone Projects,Section 59.1: Object search in a simulated home,1927,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.10.html,Chapter 59: Capstone Projects,Section 59.10: Multi-agent search and rescue,1918,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.11.html,Chapter 59: Capstone Projects,Section 59.11: Open-ended research project,1894,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.12.html,Chapter 59: Capstone Projects,Section 59.12: Application Track Capstone Templates,1251,18,1,2,1,12,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.2.html,Chapter 59: Capstone Projects,Section 59.2: Language-guided navigation with replanning,1941,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.3.html,Chapter 59: Capstone Projects,Section 59.3: Vision-based robotic pick-and-place (IL + RL),2014,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.4.html,Chapter 59: Capstone Projects,Section 59.4: Fine-tune an open VLA on a custom task (LeRobot),2022,18,0,1,2,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.5.html,Chapter 59: Capstone Projects,Section 59.5: Learned locomotion with sim-to-real analysis,1958,18,0,1,2,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.6.html,Chapter 59: Capstone Projects,Section 59.6: World-model-based planning agent,1915,18,0,1,2,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.7.html,Chapter 59: Capstone Projects,Section 59.7: Safety-shielded embodied agent,1905,18,0,1,2,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.8.html,Chapter 59: Capstone Projects,Section 59.8: LLM-based household task planner,1890,18,0,1,2,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-59-capstone-projects/section-59.9.html,Chapter 59: Capstone Projects,Section 59.9: Drone inspection planner,1855,18,0,1,2,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-60-teaching-with-this-book/section-60.1.html,Chapter 60: Teaching with This Book,Section 60.1: One-semester graduate course (14 weeks),1954,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-60-teaching-with-this-book/section-60.2.html,Chapter 60: Teaching with This Book,"Section 60.2: One-semester advanced undergraduate course (lighter theory, more labs)",2043,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-60-teaching-with-this-book/section-60.3.html,Chapter 60: Teaching with This Book,Section 60.3: Two-semester sequence,1900,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-60-teaching-with-this-book/section-60.4.html,Chapter 60: Teaching with This Book,Section 60.4: Research-seminar track,1901,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-60-teaching-with-this-book/section-60.5.html,Chapter 60: Teaching with This Book,Section 60.5: Lab infrastructure and compute budgeting for instructors,1995,18,1,2,2,18,,added reader-pathway callout; added memory-hook fun-note callout
part-12-frontiers-capstones-and-course-design/module-60-teaching-with-this-book/section-60.6.html,Chapter 60: Teaching with This Book,"Section 60.6: Assessment, rubrics, and academic-integrity notes for code assignments",2016,18,0,1,2,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-04-spatial-representation-and-coordinate-frames/section-4.1.html,Chapter 4: Spatial Representation and Coordinate Frames,Section 4.1: Why space is the substrate of embodiment,1639,16,1,1,2,16,,added reader-pathway callout
part-2-mathematical-robotics-and-control-foundations/module-04-spatial-representation-and-coordinate-frames/section-4.2.html,Chapter 4: Spatial Representation and Coordinate Frames,"Section 4.2: Points, vectors, poses, frames",1499,16,1,1,2,16,,added reader-pathway callout
part-2-mathematical-robotics-and-control-foundations/module-04-spatial-representation-and-coordinate-frames/section-4.3.html,Chapter 4: Spatial Representation and Coordinate Frames,"Section 4.3: Rotations: matrices, Euler angles, axis-angle, quaternions; pitfalls",1541,16,1,1,2,16,,added reader-pathway callout
part-2-mathematical-robotics-and-control-foundations/module-04-spatial-representation-and-coordinate-frames/section-4.4.html,Chapter 4: Spatial Representation and Coordinate Frames,"Section 4.4: Rigid transforms, homogeneous coordinates, SE(3)",1553,13,1,1,2,15,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-04-spatial-representation-and-coordinate-frames/section-4.5.html,Chapter 4: Spatial Representation and Coordinate Frames,Section 4.5: 2D and 3D transformations; transform trees (tf in ROS),1598,13,1,1,2,15,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-04-spatial-representation-and-coordinate-frames/section-4.6.html,Chapter 4: Spatial Representation and Coordinate Frames,"Section 4.6: Camera, body, and world frames",1530,13,0,0,2,15,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-04-spatial-representation-and-coordinate-frames/section-4.7.html,Chapter 4: Spatial Representation and Coordinate Frames,Section 4.7: Common frame mistakes and how to debug them,1594,13,0,0,2,15,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-05-kinematics-and-robot-motion/section-5.1.html,Chapter 5: Kinematics and Robot Motion,"Section 5.1: Position, velocity, acceleration; twists",1924,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-05-kinematics-and-robot-motion/section-5.2.html,Chapter 5: Kinematics and Robot Motion,Section 5.2: Holonomic vs. non-holonomic motion,1951,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-05-kinematics-and-robot-motion/section-5.3.html,Chapter 5: Kinematics and Robot Motion,Section 5.3: Differential-drive and car-like robots,1986,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-05-kinematics-and-robot-motion/section-5.4.html,Chapter 5: Kinematics and Robot Motion,"Section 5.4: Robot arms, joints, the kinematic chain",1984,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-05-kinematics-and-robot-motion/section-5.5.html,Chapter 5: Kinematics and Robot Motion,Section 5.5: Forward kinematics,1859,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-05-kinematics-and-robot-motion/section-5.6.html,Chapter 5: Kinematics and Robot Motion,"Section 5.6: Inverse kinematics: analytic, numerical (Jacobian), and learned",1978,13,0,1,3,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-05-kinematics-and-robot-motion/section-5.7.html,Chapter 5: Kinematics and Robot Motion,"Section 5.7: Jacobians, singularities, manipulability",1862,13,0,1,3,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-05-kinematics-and-robot-motion/section-5.8.html,Chapter 5: Kinematics and Robot Motion,Section 5.8: Motion constraints,1836,13,0,1,3,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-06-dynamics-and-simulation-math/section-6.1.html,Chapter 6: Dynamics and Simulation Math,"Section 6.1: From kinematics to dynamics: forces, torques, inertia",1992,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-06-dynamics-and-simulation-math/section-6.2.html,Chapter 6: Dynamics and Simulation Math,Section 6.2: Rigid-body dynamics; the manipulator equation,1965,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-06-dynamics-and-simulation-math/section-6.3.html,Chapter 6: Dynamics and Simulation Math,"Section 6.3: Contact, friction, and why contact-rich sim is hard",2044,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-06-dynamics-and-simulation-math/section-6.4.html,Chapter 6: Dynamics and Simulation Math,Section 6.4: Numerical integration and stability,1912,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-06-dynamics-and-simulation-math/section-6.5.html,Chapter 6: Dynamics and Simulation Math,Section 6.5: Differentiable physics: what it buys you,1963,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-06-dynamics-and-simulation-math/section-6.6.html,Chapter 6: Dynamics and Simulation Math,Section 6.6: Why GPU-parallel simulation changed robot learning,1963,13,0,1,3,18,missing-raster-illustration,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-07-control-for-ai-practitioners/section-7.1.html,Chapter 7: Control for AI Practitioners,Section 7.1: Open-loop vs. closed-loop control,1962,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
part-2-mathematical-robotics-and-control-foundations/module-07-control-for-ai-practitioners/section-7.2.html,Chapter 7: Control for AI Practitioners,"Section 7.2: Feedback, error, stability, overshoot, oscillation",1935,13,1,2,3,18,,added reader-pathway callout; added memory-hook fun-note callout
